Country,Year,Population_Growth_Rate,Exports of goods and services_Growth_Rate,Imports of goods and services_Growth_Rate,Gross capital formation_Growth_Rate,Final consumption expenditure_Growth_Rate,Government_Expenditure_Growth_Rate,GDP_Growth_Rate
Albania,1972,2.73490132278186,2.93294782220039,2.88224335196671,2.83211493909858,2.87713002747964,2.8641169350316362,2.87230854147058
Albania,1973,2.6582669801818297,2.7308543104871803,2.88417114509658,3.03168016987427,2.84697570729468,2.8255277194582096,2.87867577258942
Albania,1974,2.57955369626525,2.97109133097133,2.8163462912005697,2.67207087215741,2.9060704025102,2.988045346936352,2.85713011403532
Albania,1975,2.5013034471341897,3.09702111369543,2.9462501285659504,2.7928265522078504,2.8783529074331,2.778892771239816,2.8811232279361003
Albania,1976,2.39377658839856,2.12589577969026,2.88996054847336,3.63143193611428,2.75651060811203,2.7096870572511857,2.89778202095636
Albania,1977,2.2566296673005097,3.69573560508669,2.6130720339296403,1.6001390538473002,3.0835046348047994,3.4763351622352223,2.7925473217498
Albania,1978,2.1089485889948603,3.47381275125933,3.33682985777836,3.15753904810929,2.79541777732836,2.154393639154595,2.9531698054046296
Albania,1979,1.9570368833105,-19.5448930720612,-16.7184347660908,-13.932824425578199,-16.9866588045104,-16.897309732985388,-16.53499861505
Albania,1980,1.8308182429642,-4.3735114054437,-10.3250602732926,-15.6947352718534,-8.31459212988166,-6.800580839091164,-9.71496193478891
Albania,1981,1.7248137185546395,2.84315724558761,5.53368210040228,8.06420786848984,1.9408866896551693,-1.720429894939679,3.43806336554031
Albania,1982,1.6304698353055,-13.2257781870222,0.902909398437912,15.083996478322899,1.1694210690218898,3.5740335495448416,2.93165690698731
Albania,1983,1.53664088828706,-5.05410021654481,-10.3151884947417,-8.37430855612344,4.94841421616787,3.3098592934437616,1.09451533195314
Albania,1984,1.41892042872997,-5.53652864222338,-8.70023012466743,-12.2086198201897,3.64099768896077,5.862303873492224,-1.2860389749695
Albania,1985,1.27721901596755,-4.7680164616640495,0.5096426599165089,8.34765992199662,0.5533110836413161,0.965872439815918,2.13900499375159
Albania,1987,2.07934168315349,-2.53395771217177,-10.766232177411199,-15.074047942550699,8.72565284949105,6.058673660714287,2.3137162075884
Albania,1988,0.782752814055509,9.5838494855317,22.6191120018556,8.30270857552475,4.30677862376394,1.476620742976631,3.45662027577968
Albania,1989,0.587278223019849,30.881952744167,26.4879931652878,29.712921251211,14.6576695539559,11.31282699333096,19.5166037259923
Albania,1990,0.39254374071882,-39.5196802900707,-15.9749904579573,-43.81347540898521,-13.321618210511,-15.499047595482294,-27.029821483363104
Albania,1996,-0.7203194109010258,25.485879550135003,100.0,-16.9774737784256,97.6341904082279,32.03877883386112,49.1152380844353
Albania,1997,-0.538374135787544,-38.9591467829757,-25.1346241420011,-15.833351629855,-29.359573652522894,-22.531997940987786,-30.471777020265797
